OE Opportunities,,,,,,,,,,Formula,,,,,,,Formula,,,,
,,,,,,,Lead,Lead,,,,,Contract,,Estimated,Estimated, 84.2 ,,,,
Sr. no.,Customer,Description,Business Unit,"Product 
category","Product
subcategory","Business 
category","PIN 
Sales","PIN 
Presales","Deal 
stage","Deal 
classification","Deal 
status","Winning 
probability",Estimated closure date,Confidence level,Lifetime volume,Unit price (INR),Unit price (USD),"TCV 
(USD Mln.)",Comments,PMS,Remarks
35,Nissan (4W),USB Port - Type A/C (60W + 20W),MAC,Other MAC,USB port,Line-fit,Gaurav,Haseeb,C,Lead,Lead Qualification,50%,Mar-27,Mid," 6,35,000 ", 500 , 5.9 , 3.8 ,Awaiting RFQ from Nissan,,
36,Mahindra (4W),IRVM - with DVR,MAC,Smartcam,Digital mirror,Line-fit,Gaurav,Haseeb,F,RFQ,Negotiation,75%,Mar-26,Low," 3,77,000 "," 16,000 ", 190.0 , 71.6 ,TSO signed. Commercial negotiations to begin soon.,,
37,Renault  (4W),"1"" Tweeter - Special Edition Kiger/Triber ",MPC,Sound ,Spks.,Line-fit,Gaurav,Rachit,O (L),Lost,Other,0%,Lost,High," 5,00,000 ", 130 , 1.5 , 0.8 ,,,
38,Daimler (CV),RVC+Display,MAC,Smartcam,RVC with Display,Line-fit,Gaurav,Haseeb,E,RFQ,Opportunity,50%,Dec-26,Mid," 4,750 "," 11,000 ", 130.6 , 0.6 ,RFQ received. Proposal to be submitted.,,
39,Stellantis (4W),Wireless Charger Qi2.2,MAC,Other MAC,WLC,Line-fit,Gaurav,Haseeb,C,Lead,Lead Qualification,50%,Dec-26,Mid," 2,10,000 "," 2,100 ", 24.9 , 5.2 ,Awaiting RFQ from Stellantis,,
40,Renault  (4W),"6.5"" speaker - Special Edition Kiger/Triber ",MPC,Sound ,Spks.,Line-fit,Gaurav,Rachit,O (L),Lost,Other,0%,Lost,Low," 79,800 "," 5,000 ", 59.4 , 4.7 ,,,
41,Mahindra (4W),IRVM - without DVR,MAC,Smartcam,Digital mirror,Line-fit,Gaurav,Haseeb,F,RFQ,Negotiation,75%,Mar-26,Low," 3,77,000 "," 13,000 ", 154.4 , 58.2 ,TSO signed. Commercial negotiations to begin soon.,,
42,Force Motors (CV),Speaker,MPC,Sound ,Spks.,Line-fit,Parvez,Rachit,F,RFQ,Negotiation,75%,Mar-26,Mid," 12,000 "," 2,500 ", 29.7 , 0.4 ,Conditional nomination received. Test reports pending.,,
43,Force Motors (CV),1 DIN,MPC,IVI ,IVI,Line-fit,Parvez,Rachit,F,RFQ,Negotiation,75%,Mar-26,Mid," 6,000 "," 3,200 ", 38.0 , 0.2 ,Conditional nomination received. Test reports pending.,,
44,Tech Mahindra (4W),1 DIN,MPC,IVI ,IVI,Line-fit,Parvez,Rachit,O (D),Dropped,Other,0%,Dropped,Dropped," 93,100 "," 1,500 ", 17.8 , 1.7 ,,,
45,Tata PV (4W),Infotainment,MPC,IVI ,IVI,Line-fit,Parvez,Haseeb,A,Before Lead,Planning,0%,TBC,Low," 50,000 "," 8,000 ", 95.0 , 4.8 ,"Intial level technical proposal submitted,follow up meeting planned in Jan 26.",,
46,Ashok Leyland (CV) - Bus,"Connected 360-deg. camera + 7"" display",MAC,Smartcam,360-deg. camera,Line-fit,Ashish,Rachit,A,Before Lead,Planning,0%,TBC,Low, -   , -   , -   , -   ,,,
47,Ashok Leyland (CV) - Bus,"RVC + 7"" display",MAC,Smartcam,RVC,Line-fit,Ashish,Rachit,A,Before Lead,Planning,0%,TBC,Low, -   , -   , -   , -   ,,,
48,Mahindra (4W),Wirless Charger MPP Profile Qi 2.2,MAC,Other MAC,WLC,Line-fit,Gaurav,Haseeb,F,RFQ,Negotiation,75%,Mar-26,Mid," 15,00,000 "," 2,100 ", 24.9 , 37.4 ,RFQ received. TSO submitted. Negotiations in progress.,,
49,Mahindra (4W),IRVM with 2-camera (for Bolero pickup),MAC,Smartcam,Digital mirror,Line-fit,Gaurav,Haseeb,A,Before Lead,Planning,0%,TBC,Low," 2,50,000 "," 8,000 ", 95.0 , 23.8 ,POC planned on 30-Jan-2026,,
50,MG Motor (4W),"LVDS camera (part of 360-deg, without ECU)",MAC,Smartcam,360-deg. camera,Line-fit,Gaurav,Haseeb,E,RFQ,Opportunity,50%,Mar-26,Mid," 10,00,000 "," 1,200 ", 14.3 , 14.3 ,TSO under discussion,,
51,Mahindra (4W),W616 (XUV 7XO) - Booster amp + Center &/or Roof,MPC,Sound ,Spk + Amp,Line-fit,Parvez,Rachit,D,Lead,Supplier Qualification,50%,Dec-26,Low," 1,25,000 "," 5,000 ", 59.4 , 7.4 ,RFI received. Response to be submitted.,,
52,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
53,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
54,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
55,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
56,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
57,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
58,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
59,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
60,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
61,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
62,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
63,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
64,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
65,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
66,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
67,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
68,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
69,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
70,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
71,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
72,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
73,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
74,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
75,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
76,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
77,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
78,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
79,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
80,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
81,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
82,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
83,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
84,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
85,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
86,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
87,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
88,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
89,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
90,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
91,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
92,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
93,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
94,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
95,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
96,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
97,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
98,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
99,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
100,,,,,,,,,,#N/A,#N/A,#N/A,,,,, -   , -   ,,,
